L1,L2,L3,L4,L5,L6,L7,L8,L9,U1,U2,U3,U4,U5,U6,U7,U8,U9
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.250000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.750000,-1.000000,-0.250000,-1.000000,0.000000,0.000000,0.000000,0.000000
0.000000,-0.266667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.733333,-0.066667,-0.266667,-1.000000,0.000000,0.000000,0.000000
-0.250000,-0.066667,-0.017857,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.732143,-1.071429,-0.017857,-1.000000,0.000000,0.000000
0.000000,-0.266667,-0.071429,-0.287081,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.406699,-1.076555,-0.287081,-1.000000,0.000000
0.000000,0.000000,-0.267857,-0.004785,-0.316011,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.391854,-0.095506,-0.316011,-1.000000
0.000000,0.000000,0.000000,-0.267943,-0.084270,-0.028157,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.705176,-1.093168,-0.028157
0.000000,0.000000,0.000000,0.000000,-0.293539,-0.093168,-0.295038,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.354493,-1.101475
0.000000,0.000000,0.000000,0.000000,0.000000,-0.294824,-0.007599,-0.328358,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.343284
